SNR_dB,CAR_classical,CAR_DL_SemCom,CAR_LPG,TUP_classical,TUP_DL_SemCom,TUP_LPG,SEP_classical,SEP_DL_SemCom,SEP_LPG,NSC_LPG
0.0,0.008483091780842356,0.03510211063709792,0.4397045965523656,0.08712579709590758,0.1687837307224203,0.5585725393453215,0.9915169082191576,0.9648978893629021,0.5602954034476344,172.55125843114033
0.20000000000000107,0.00947891757323403,0.03925006653394371,0.47044424143884267,0.08796229076151658,0.17218505455783384,0.5822420659079088,0.990521082426766,0.9607499334660563,0.5295557585611573,183.59174436319017
0.40000000000000036,0.010590394240956374,0.0438658958679243,0.5014097410560231,0.08889593116240335,0.17597003461169794,0.6060855006131378,0.9894096057590436,0.9561341041320757,0.4985902589439769,195.1525453119189
0.5999999999999996,0.011830643541746634,0.04899686601413577,0.5323644303836031,0.08993774057506718,0.18017743013159135,0.6299206113953745,0.9881693564582533,0.9510031339858642,0.46763556961639685,207.2059167185367
0.8000000000000007,0.013214199541205576,0.054693671667465374,0.5630719740880006,0.09109992761461269,0.18484881076732163,0.6535654200477604,0.9867858004587944,0.9453063283325346,0.4369280259119994,219.71856051163343
1.0,0.014757141670053169,0.06101034507539989,0.5933035274437675,0.09239599900284466,0.19002848296182792,0.6768437161317009,0.9852428583299468,0.9389896549246001,0.40669647255623254,232.65270825783267
1.200000000000001,0.01647723552463311,0.06800406179638026,0.6228444200134676,0.09384087784069181,0.1957633306730318,0.69959020341037,0.9835227644753669,0.9319959382036197,0.3771555799865324,245.96737787266608
1.4000000000000004,0.018394080538050764,0.07573481808959094,0.6514999574971412,0.09545102765196264,0.20210255083346457,0.7216549672727987,0.9816059194619492,0.9242651819104091,0.3485000425028588,259.61971910313065
1.6000000000000014,0.02052926318009525,0.08426495414481763,0.679100029455044,0.09724458107128,0.20909726239875048,0.7429070226803839,0.9794707368199047,0.9157350458551824,0.320899970544956,273.5663598338596
1.8000000000000007,0.02290651375757357,0.09365849639261765,0.7055023292940732,0.0992414715563618,0.21679996704194648,0.7632367935564364,0.9770934862424264,0.9063415036073823,0.2944976707059268,287.7646714755687
2.0,0.025551864163831997,0.10398029258241502,0.7305941205975492,0.10146356589761887,0.2252638399175803,0.7825574728601129,0.974448135836168,0.896019707417585,0.26940587940245075,302.17388566844596
2.200000000000001,0.028493803047733364,0.11529491575375325,0.7542926036842702,0.10393479456009602,0.23454183091807768,0.800805304836888,0.9715061969522666,0.8847050842462467,0.2457073963157298,316.75601366712743
2.4000000000000004,0.031763423819931844,0.1276653182878058,0.7765440347613216,0.10668127600874275,0.24468556099600075,0.8179389067662176,0.9682365761800682,0.8723346817121942,0.2234559652386784,331.4765410475644
2.6000000000000014,0.03539455967272505,0.1411512255516009,0.7973218189597203,0.10973143012508904,0.25574400495231275,0.8339378005989846,0.9646054403272749,0.8588487744483991,0.20267818104027968,346.3048909433951
2.8000000000000007,0.03942389834973981,0.15580727079427872,0.8166238353226313,0.11311607461378145,0.26776196205130853,0.8488003531984261,0.9605761016502602,0.8441927292057213,0.18337616467736872,361.214666653992
3.0,0.0438910677636537,0.1716808892780393,0.8344692587461694,0.11686849692146911,0.2807783292079922,0.8625413292345504,0.9561089322363463,0.8283191107219607,0.1655307412538306,376.18369779421414
3.200000000000001,0.048838681739313675,0.18881001012404483,0.850895126645343,0.1210244926610235,0.29482420830171674,0.8751892475169141,0.9511613182606863,0.8111899898759551,0.14910487335465705,391.19392267556
3.4000000000000004,0.05431233319245805,0.20722060849281407,0.8659528641088846,0.12562235988166476,0.30992089896410757,0.8867837053638411,0.9456876668075419,0.7927793915071859,0.1340471358911154,406.2311435489748
3.6000000000000014,0.06036052000618643,0.2269242072701765,0.87970493804264,0.1307028368051966,0.32607784996154476,0.8973728022928328,0.9396394799938136,0.7730757927298235,0.12029506195735995,421.2846914312022
3.8000000000000007,0.06703448684156445,0.24791544434861368,0.8922217648495578,0.13630896894691413,0.3432906643658632,0.9070107589341595,0.9329655131584356,0.7520845556513863,0.10777823515044216,436.3470344646898
